simulation,location,sample_fraction,effective_surveillance_coverage_percent
39,North,Solids,47.891962347241474
39,North,Liquid,32.37744777262577
39,South,Total,88.3602350677413
39,South,Solids,56.11921973284242
39,South,Liquid,32.581452083665
39,West,Total,83.71879887045782
39,West,Solids,51.80428061590381
39,West,Liquid,32.43199869536632
40,North,Total,76.83460019277516
40,North,Solids,39.167011820897116
40,North,Liquid,39.71863999165948
40,South,Total,85.75292996318305
40,South,Solids,45.75629927052497
40,South,Liquid,40.61214297401214
40,West,Total,81.33968544984086
40,West,Solids,42.31754774096222
40,West,Liquid,40.493866370481015
41,North,Total,71.52487213761731
41,North,Solids,39.78232387634119
41,North,Liquid,31.564995798777527
41,South,Total,81.9713892510628
41,South,Solids,46.87138206426969
41,South,Liquid,33.19971907159743
41,West,Total,77.07008710404615
41,West,Solids,43.18275216788427
41,West,Liquid,33.27646660741282
42,North,Total,82.47652833304274
42,North,Solids,31.957218074742595
42,North,Liquid,52.655590961000485
42,South,Total,89.47152802739559
42,South,Solids,37.487970149647396
42,South,Liquid,53.04689615503209
42,West,Total,85.74468480841972
42,West,Solids,34.639825098799726
42,West,Liquid,52.69601870585694
43,North,Total,76.84284078688542
43,North,Solids,29.602728024154874
43,North,Liquid,50.37124074231528
43,South,Total,85.4601430587499
43,South,Solids,34.42409747925346
43,South,Liquid,51.66847234836002
43,West,Total,81.24803094427597
43,West,Solids,31.91840733154964
43,West,Liquid,51.46621379474855
44,North,Total,80.48576500057085
44,North,Solids,45.722397489730156
44,North,Liquid,35.17020527474401
44,South,Total,88.80774286565169
44,South,Solids,53.54249286006749
44,South,Liquid,35.45692938351418
44,West,Total,84.51206462916647
44,West,Solids,49.52422321759858
44,West,Liquid,35.2890564565463
45,North,Total,78.07638560390613
45,North,Solids,45.585872656105515
45,North,Liquid,32.79882489360356
45,South,Total,86.29090446395675
45,South,Solids,52.67092430157494
45,South,Liquid,33.65170835532148
45,West,Total,82.30369777330762
45,West,Solids,48.97606374662661
45,West,Liquid,33.52815801389614
46,North,Total,82.4929125761259
46,North,Solids,36.422763863587576
46,North,Liquid,45.16245566774655
46,South,Total,88.69479178714468
46,South,Solids,42.45905497743255
46,South,Liquid,45.86588243732162
46,West,Total,85.68531944747605
46,West,Solids,39.35962163071869
46,West,Liquid,45.66355759857682
47,North,Total,77.36946407643414
47,North,Solids,39.50146001779951
47,North,Liquid,42.20984686369814
